iter	Passed	Remaining
956	21774	978
957	21796	955
958	21818	932
959	21842	910
960	21867	887
961	21888	864
962	21909	841
963	21930	818
964	21956	796
965	21979	773
966	22004	750
967	22024	728
968	22047	705
969	22067	682
970	22091	659
971	22111	636
972	22135	614
973	22155	591
974	22177	568
975	22198	545
976	22220	523
977	22240	500
978	22263	477
979	22283	454
980	22305	432
981	22326	409
982	22348	386
983	22370	363
984	22392	341
985	22413	318
986	22435	295
987	22455	272
988	22477	250
989	22499	227
990	22521	204
991	22541	181
992	22565	159
993	22585	136
994	22607	113
995	22627	90
996	22659	68
997	22685	45
998	22708	22
999	22730	0
